SourceGENES,TargetGENES,Interaction,Edges
g53,g35,0.0588782383993049,repression
g15,g37,0.0587427347960797,repression
g48,g4,0.0586110893668116,activation
g39,g54,0.0584144141835712,repression
g39,g23,0.0582328350341201,activation
g5,g19,0.0579973529732432,activation
g58,g4,0.0579917057948513,repression
g61,g1,0.0579576839680181,activation
g5,g6,0.0579340701961905,repression
g8,g34,0.0577944923911505,repression
g56,g23,0.0576576276774248,repression
g3,g15,0.0576020134807512,repression
g45,g58,0.057344587432887,repression
g15,g4,0.0572660104142826,activation
g9,g33,0.0570048768042609,repression
g53,g39,0.0568311935873696,repression
g15,g39,0.0567035872639509,activation
g60,g24,0.0561166872111278,activation
g8,g38,0.0560870452954644,activation
g8,g19,0.0560437639941676,repression
g51,g44,0.0557168317618387,activation
g53,g1,0.055696819694395,activation
g45,g32,0.0556819930862621,repression
g34,g28,0.0556718908334188,repression
g48,g13,0.0556403491171408,repression
g53,g52,0.0556036550680681,activation
g50,g51,0.055567146662011,repression
g8,g26,0.0554765419686408,repression
g8,g37,0.0554651564761546,repression
g61,g33,0.0552846760774739,activation
g34,g13,0.0551979957953219,repression
g61,g46,0.0550775483654524,activation
g56,g39,0.0550501028732399,activation
g31,g22,0.0549192791398505,activation
g56,g44,0.0548988062350772,repression
g58,g24,0.054616585138625,activation
g58,g16,0.0545010214493099,repression
g15,g7,0.0544347891360445,activation
g2,g56,0.0543385196501378,activation
g2,g8,0.05413200536829,repression
g2,g19,0.0539012986535012,activation
g53,g46,0.0537989336366717,repression
g60,g54,0.0537193923185414,repression
g54,g4,0.0534792197052059,activation
g8,g25,0.0534235292990665,repression
g15,g44,0.0534046674506667,activation
g30,g44,0.0534038408742765,activation
g54,g62,0.0533923281121699,activation
g34,g51,0.053148836424401,repression
g45,g45,0.052774221621186,activation
g51,g28,0.0526331594129403,repression
g15,g29,0.0525861652846382,repression
g36,g17,0.0524636385160291,activation
g15,g3,0.0524534637307834,repression
g25,g3,0.0523113418650471,activation
g19,g32,0.0523110108140892,activation
g3,g45,0.0522533785798341,activation
g22,g49,0.0521292856538527,repression
g8,g6,0.0520790453740899,repression
g53,g51,0.0519546318603086,repression
g6,g2,0.0519123710029089,activation
g19,g19,0.0518234095241622,activation
g30,g32,0.0518067241893283,repression
g31,g9,0.051505664138584,repression
g54,g30,0.051495582585958,repression
g56,g38,0.0512330547565663,repression
g2,g45,0.0511109180090177,activation
g39,g19,0.0509308255246456,repression
g30,g54,0.0508938130448775,repression
g31,g17,0.0508353395775639,activation
g5,g3,0.0508165385395542,activation
g25,g30,0.0507898387630352,activation
g9,g37,0.0506041953694201,activation
g30,g57,0.0505328331421084,activation
g54,g39,0.0503464422586053,repression
g27,g11,0.0502990125732541,repression
g30,g53,0.0500227817345492,repression
g49,g55,0.0500213363361907,repression
g49,g57,0.0499809111000043,repression
g9,g28,0.049947761663658,activation
g60,g28,0.0499402468861002,repression
g61,g45,0.0498658668516672,activation
g45,g3,0.0497312971834814,activation
g6,g61,0.0493800613543185,repression
g34,g46,0.0493406646687399,repression
g6,g45,0.0493101163673616,repression
g19,g43,0.0492506995786396,activation
g5,g38,0.0492284035748741,activation
g34,g29,0.0489595232047968,activation
g9,g56,0.0489488893492406,activation
g8,g1,0.0488193600183782,repression
g60,g60,0.0486603341807772,activation
g49,g19,0.048634889247972,repression
g56,g56,0.0483251415557197,activation
g6,g1,0.0481584504620054,activation
g3,g3,0.0479866099045495,activation
g8,g23,0.0479194832136038,repression
g51,g64,0.0477392502755738,activation
g51,g62,0.0476835085105845,repression
g2,g26,0.0475678905381922,activation
g54,g2,0.0475472353156101,activation
g40,g48,0.047427770102596,activation
g30,g34,0.0473920424948232,repression
g34,g42,0.0473539952217981,repression
g3,g19,0.0473369367695925,activation
g26,g33,0.0472104213963888,repression
g48,g47,0.0471479723420266,repression
g15,g23,0.0470260228332851,activation
g53,g47,0.0469818843751854,repression
g2,g3,0.0465448287352649,activation
g1,g61,0.0464459024480454,activation
g50,g25,0.0463965984463033,activation
g6,g56,0.0463840078018492,activation
g58,g13,0.0462545889212975,activation
g25,g1,0.0462356479358916,repression
g25,g46,0.0462184900344992,repression
g9,g5,0.0462183634926002,repression
g25,g2,0.0461746602444686,repression
g27,g39,0.0461388198298709,activation
g26,g42,0.0461371000339542,repression
g8,g15,0.046072129386644,repression
g15,g56,0.0459912193276383,repression
g30,g24,0.0457744433002848,repression
g40,g36,0.0457008707999345,activation
g3,g61,0.045679170681848,activation
g60,g38,0.0454745912522094,repression
g34,g38,0.045448506118683,activation
g15,g45,0.0453650891344336,activation
g56,g19,0.045329925802186,repression
g16,g19,0.0449294115710875,repression
g26,g63,0.0449092161955636,activation
g25,g45,0.0448724178106858,repression
g19,g4,0.0448281860472459,repression
g26,g47,0.0444217820114374,repression
g6,g30,0.0442324241017127,activation
g5,g39,0.0441576628959241,activation
g31,g63,0.044076868153125,repression
g9,g3,0.0440659502007174,activation
g49,g15,0.0438106029244004,repression
