Ensembl_id,gene_name
ENSDARG00000042045,hmg20b
ENSDARG00000110907,BX548005.2
ENSDARG00000101131,pbx1b
ENSDARG00000043873,arid4a
ENSDARG00000099736,CABZ01075078.1
ENSDARG00000093165,si:dkey-16p6
ENSDARG00000074442,alx4b
ENSDARG00000110318,AL844847.2
ENSDARG00000070721,vdrb
ENSDARG00000075972,csrnp2
ENSDARG00000036235,zbtb3
ENSDARG00000111083,tub
ENSDARG00000100808,znf1183
ENSDARG00000103497,si:dkey-246j6
ENSDARG00000027199,smad1
ENSDARG00000110061,barhl1a
ENSDARG00000074526,zbtb16b
ENSDARG00000098430,znf1078
ENSDARG00000111184,gsc
ENSDARG00000031647,stat2
ENSDARG00000023040,zbtb1
ENSDARG00000102600,CABZ01003344.1
ENSDARG00000031420,wt1a
ENSDARG00000054823,id3
ENSDARG00000018109,mafga
ENSDARG00000056491,ikzf5
ENSDARG00000111269,CABZ01087224.1
ENSDARG00000088039,CU929391.1
ENSDARG00000094484,CR759833.1
ENSDARG00000113380,BX510922.3
ENSDARG00000096689,si:dkey-66i24
ENSDARG00000014201,otpa
ENSDARG00000113850,BX510647.5
ENSDARG00000053569,sox3
ENSDARG00000115998,zbtb37
ENSDARG00000040135,fosaa
ENSDARG00000089598,si:cabz01054396
ENSDARG00000017780,rorcb
ENSDARG00000010132,dacha
ENSDARG00000055574,FOXN2
ENSDARG00000097501,si:dkey-111k8
ENSDARG00000116598,BX470242.3
ENSDARG00000014463,usf1l
ENSDARG00000078256,ovol1b
ENSDARG00000103186,si:ch73-389k6
ENSDARG00000102025,znf644b
ENSDARG00000114369,CR352261.3
ENSDARG00000004074,bach2b
ENSDARG00000115152,CR788257.2
ENSDARG00000035910,znf281b
ENSDARG00000005559,pou4f1
ENSDARG00000069329,drgx
ENSDARG00000102473,zgc:171673
ENSDARG00000103400,si:ch211-161m3
ENSDARG00000019516,sp7
ENSDARG00000098240,meis2a
ENSDARG00000069252,mixl1
ENSDARG00000025346,znf277
ENSDARG00000006038,aebp2
ENSDARG00000037383,pax5
ENSDARG00000094034,znf1045
ENSDARG00000007944,lhx1b
ENSDARG00000093875,zgc:174224
ENSDARG00000076807,CR352258.1
ENSDARG00000078434,znf692
ENSDARG00000110408,CR352335.2
ENSDARG00000112646,FO704670.1
ENSDARG00000052188,znf541
ENSDARG00000092799,camta2
ENSDARG00000074321,tead3a
ENSDARG00000112589,BX120011.1
ENSDARG00000077120,arid5a
ENSDARG00000107408,TCF4
ENSDARG00000005382,prdm9
ENSDARG00000052387,pou2f3
ENSDARG00000101883,FP074874.1
ENSDARG00000054307,zgc:77151
ENSDARG00000117076,BX005085.7
ENSDARG00000039263,zbtb48
