TF	target	importance
g34	g28	0.05161058214823109
g11	g55	0.05153084921176731
g31	g53	0.05143529922674457
g36	g47	0.05143229035960725
g31	g57	0.05141774504976063
g40	g55	0.051358351309079495
g12	g13	0.05115955634004013
g9	g40	0.051114703358395124
g59	g57	0.05077897522101209
g20	g31	0.05072449567203884
g10	g21	0.050521328764653824
g50	g19	0.050253224972586476
g9	g26	0.05023762519276262
g1	g63	0.05013069480926569
g6	g5	0.05010005008026623
g1	g61	0.04985020367068163
g2	g4	0.04967696332481112
g18	g29	0.04957962245986479
g18	g25	0.04910733088567259
g56	g50	0.049069747207172706
g30	g50	0.0490572894158702
g18	g31	0.04896378187105023
g22	g13	0.048662383574884914
g20	g10	0.0485389669323712
g59	g40	0.047621225187678765
g20	g62	0.047437643050913456
g9	g21	0.04743594472619565
g10	g9	0.04742407694085806
g45	g5	0.04739168179519535
g44	g57	0.04734298714906427
g47	g59	0.04732537047939182
g2	g7	0.0472447196407832
g41	g20	0.04723034028252083
g6	g34	0.04717185023229569
g47	g37	0.04676162574103335
g56	g63	0.04633830864690213
g35	g58	0.04629893616137481
g47	g25	0.046279586799673644
g3	g5	0.046193351964371784
g50	g7	0.046185797292940395
g55	g10	0.04616187613019272
g17	g18	0.04613753005373386
g30	g61	0.046101962259247356
g31	g40	0.045905709925715334
g20	g47	0.04571929027471571
g12	g16	0.045689252848363816
g15	g61	0.04559190827257175
g3	g1	0.04548308413784413
g22	g16	0.04541646626285956
g14	g38	0.04500424031955506
g10	g44	0.04495638703545102
g50	g43	0.044652352543899015
g34	g60	0.044644539126836594
g10	g59	0.04458261814812836
g1	g7	0.04449673351851847
g31	g11	0.044470909909988775
g2	g43	0.04422963285600196
g12	g47	0.04416550351769182
g14	g51	0.04359024104817947
g17	g47	0.04355345187342217
g13	g25	0.04347518678440353
g31	g44	0.04339541158118906
g9	g10	0.0433418654943476
g20	g59	0.04318457918322049
g47	g29	0.043093068499862254
g19	g6	0.043032017041898574
g55	g40	0.042977518225648666
g14	g31	0.04295511010117074
g48	g61	0.0428190274084247
g22	g18	0.042802309961540705
g55	g26	0.042662469823601126
g22	g62	0.04261538279892096
g29	g54	0.04246570173937414
g12	g59	0.042411503226820337
g12	g10	0.04235684052894455
g46	g52	0.04222344998011242
g13	g37	0.04212112621354083
g30	g48	0.04186926169865271
g17	g62	0.04181042277004339
g14	g22	0.04151829363352361
g17	g57	0.04144577421586387
g2	g61	0.041361282571227384
g4	g58	0.041299023912355855
g59	g17	0.041223594099426754
g58	g35	0.041115310970237164
g22	g47	0.04100859386206987
g31	g9	0.040899537934982064
g6	g48	0.040373079951347236
g20	g16	0.04013506401945962
g17	g9	0.04004957114372333
g10	g53	0.04004259804432125
g50	g48	0.03983641250042783
g14	g59	0.03981586420229428
g56	g4	0.03968452773590065
g60	g34	0.03959115220010823
g30	g4	0.03929018628065404
g59	g9	0.039205857331915527
g41	g31	0.039131001270791624
g11	g40	0.039110984265553844
g46	g34	0.039068541419108975
g57	g44	0.03874782952393543
g10	g26	0.0386757731540944
g2	g19	0.03845379991508101
g12	g40	0.038363750990065275
g9	g61	0.03832417975049834
g18	g40	0.03823185860783922
g3	g64	0.03799699014834755
g30	g54	0.037929860816294014
g61	g50	0.03787224472225283
g36	g34	0.037864634509450275
g4	g56	0.037827880446652924
g41	g51	0.03781864416815258
g50	g2	0.037790326463101764
g11	g22	0.03778512758857407
g1	g3	0.037546223684032834
g12	g9	0.037522486962626236
g12	g14	0.037480997027765375
g4	g35	0.03720525030909249
g8	g19	0.03719361712128106
g14	g52	0.03717651434173327
g2	g15	0.037157025563993855
g14	g17	0.03713581381969134
