Gene1	Gene2	EdgeWeight
g52	g18	1.7180612579696946
g0	g51	1.7177204281765768
g51	g0	1.7177204281765768
g21	g40	1.717573268676058
g40	g21	1.717573268676058
g33	g35	1.7141793427284706
g35	g33	1.7141793427284706
g17	g53	1.7136502492718926
g53	g17	1.7136502492718926
g22	g31	1.713510153732617
g31	g22	1.713510153732617
g12	g14	1.7126316842427471
g14	g12	1.7126316842427471
g25	g36	1.7112070008155182
g36	g25	1.7112070008155182
g17	g62	1.710785884840599
g62	g17	1.710785884840599
g2	g7	1.7105894377268729
g7	g2	1.7105894377268729
g1	g39	1.7096456653965155
g39	g1	1.7096456653965155
g22	g41	1.7090483109143482
g41	g22	1.7090483109143482
g30	g8	1.708854482371075
g8	g30	1.708854482371075
g16	g57	1.7088460521858195
g57	g16	1.7088460521858195
g11	g22	1.7078204404439594
g22	g11	1.7078204404439594
g31	g40	1.705569551790247
g40	g31	1.705569551790247
g11	g40	1.7049344042551604
g40	g11	1.7049344042551604
g56	g6	1.7043279379414031
g6	g56	1.7043279379414031
g43	g63	1.7038829695329258
g63	g43	1.7038829695329258
g17	g31	1.703858247994024
g31	g17	1.703858247994024
g22	g62	1.7033736610932997
g62	g22	1.7033736610932997
g18	g53	1.7028388963748742
g53	g18	1.7028388963748742
g12	g53	1.7027713084440377
g53	g12	1.7027713084440377
g25	g46	1.7017714635284134
g46	g25	1.7017714635284134
g42	g63	1.7013502228353738
g63	g42	1.7013502228353738
g34	g48	1.6974856026290928
g48	g34	1.6974856026290928
g43	g48	1.6958025278795377
g48	g43	1.6958025278795377
g40	g53	1.6954250267491282
g53	g40	1.6954250267491282
g11	g15	1.694698480679505
g15	g11	1.694698480679505
g28	g5	1.6939373527634018
g5	g28	1.6939373527634018
g19	g2	1.691338266219231
g2	g19	1.691338266219231
g50	g55	1.6907882748090337
g55	g50	1.6907882748090337
g16	g18	1.6901620587319337
g18	g16	1.6901620587319337
g10	g16	1.6894825406166092
g16	g10	1.6894825406166092
g33	g4	1.6889440095242567
g4	g33	1.6889440095242567
g17	g25	1.688172620061847
g25	g17	1.688172620061847
g13	g57	1.6879778028383647
g57	g13	1.6879778028383647
g45	g8	1.6878909339641757
g8	g45	1.6878909339641757
g55	g56	1.6856412739545852
g56	g55	1.6856412739545852
g2	g61	1.6853942080816706
g61	g2	1.6853942080816706
g3	g43	1.6822354568077669
g43	g3	1.6822354568077669
g10	g53	1.6821176474525852
g53	g10	1.6821176474525852
g32	g5	1.6809543820190578
g5	g32	1.6809543820190578
g21	g61	1.6808747672139843
g61	g21	1.6808747672139843
g11	g12	1.6808215850909245
g12	g11	1.6808215850909245
g18	g51	1.6796213948706158
g51	g18	1.6796213948706158
g40	g57	1.6776639971051532
g57	g40	1.6776639971051532
g27	g44	1.6772518266440946
g44	g27	1.6772518266440946
g17	g57	1.6770835540243685
g57	g17	1.6770835540243685
g32	g54	1.6762395836776964
g54	g32	1.6762395836776964
g10	g26	1.6758478329193816
g26	g10	1.6758478329193816
g56	g7	1.6753112409961424
g7	g56	1.6753112409961424
g35	g39	1.6745877655340868
g39	g35	1.6745877655340868
g14	g22	1.6738214438843797
g22	g14	1.6738214438843797
g25	g38	1.6735198081062743
g38	g25	1.6735198081062743
g21	g26	1.6721169235391231
