Gene1	Gene2	EdgeWeight
g52	g46	12.19378256204327
g9	g26	12.178394107510414
g50	g61	12.164195183668534
g22	g14	12.044359490966565
g21	g15	12.027026934820439
g7	g50	12.01924078815084
g61	g50	11.99484636864286
g13	g17	11.918549945365804
g9	g31	11.839663385638524
g12	g41	11.74961092036708
g31	g12	11.722358874881945
g9	g61	11.64138161607882
g17	g46	11.639457016467281
g19	g43	11.634705772242985
g8	g21	11.62209535094916
g22	g36	11.607651464916279
g15	g61	11.594110526266515
g30	g26	11.584200118303109
g21	g48	11.565119608854456
g26	g61	11.47761030210566
g50	g8	11.46936293288394
g12	g14	11.374488604438524
g10	g47	11.347815271910616
g12	g62	11.344006677306966
g9	g11	11.315096174177398
g47	g57	11.293824202005347
g3	g5	11.26401803152126
g39	g2	11.238769444445245
g10	g44	11.232691197033395
g12	g11	11.220332612658279
g45	g64	11.210743224805928
g6	g2	11.174270325719593
g56	g26	11.1360216223754
g36	g47	11.102217170199538
g40	g26	11.091579691258064
g22	g40	11.090247126387295
g8	g55	11.048538986924212
g13	g62	10.992326202202342
g11	g47	10.958804383007491
g59	g55	10.951085231367783
g56	g63	10.931556448120592
g2	g4	10.886652098263903
g50	g26	10.885980241636878
g47	g31	10.863085663323355
g40	g11	10.847888589332566
g47	g59	10.838852129022033
g20	g31	10.810225830908092
g22	g46	10.796216908766619
g15	g21	10.788997648456855
g18	g11	10.774612570085257
g64	g3	10.760649448971794
g2	g6	10.658480007714095
g27	g58	10.657268849708833
g22	g41	10.64195167506874
g8	g9	10.613585211908783
g40	g8	10.610048596568696
g56	g34	10.585906251027316
g3	g33	10.569995169133826
g6	g43	10.554600492998023
g36	g38	10.540825540683027
g10	g18	10.463567803067315
g30	g50	10.423403753514801
g14	g38	10.409234179737703
g8	g6	10.404620092279725
g33	g39	10.380341552196237
g21	g8	10.328945061588662
g19	g61	10.30648385455148
g1	g8	10.302371666844255
g59	g22	10.295476849160082
g13	g29	10.293815158926837
g61	g21	10.282847761507881
g31	g44	10.278202495698173
g21	g9	10.276029344896466
g12	g25	10.273286011300742
g18	g16	10.263153429985712
g2	g43	10.225996929858347
g10	g57	10.19413561464697
g22	g44	10.192033277403127
g1	g3	10.170546661143181
g20	g10	10.161545004244436
g15	g9	10.154377285763113
g34	g24	10.125905426142245
g45	g33	10.112403062621471
g4	g30	10.06815961146058
g12	g18	10.066952690932489
g38	g46	10.032333207569595
g38	g34	10.024266744807287
g41	g7	9.966024942915743
g22	g9	9.954799313770367
g6	g63	9.952768561228462
g8	g30	9.938564938415283
g11	g16	9.903760233095204
g63	g1	9.901992618479502
g40	g17	9.901729307129164
g17	g5	9.888015807523004
g36	g52	9.862194762121057
g57	g53	9.849374950111256
g41	g51	9.835869124443619
g19	g2	9.750726807595537
g10	g12	9.73309267672508
g20	g40	9.720477174369037
g2	g7	9.65097056327208
g20	g41	9.648306209025185
g43	g2	9.625276614399864
g33	g3	9.591441533617546
g59	g13	9.568932217070289
g9	g44	9.542038131747669
g14	g29	9.537363238932949
g19	g50	9.448186567440388
g63	g7	9.347806205497827
g31	g61	9.312796902491137
g57	g31	9.30930187365744
g12	g15	9.27498759429301
g41	g37	9.269715397422763
g11	g14	9.19447263287239
g10	g56	9.19246182685186
g39	g33	9.187579157839151
g41	g38	9.167372716593533
g41	g52	9.128775560756226
g36	g51	9.102091615236095
g7	g63	9.090943475272244
g20	g46	9.032578187565877
g4	g58	9.025878246737411
g2	g19	9.023895972502887
g48	g7	9.003138093209806
g53	g40	8.947817857424502
g16	g40	8.919470998097209
g31	g13	8.897130956793001
g48	g6	8.884747245100625
g48	g50	8.845634167106816
g12	g57	8.844205263407114
g45	g5	8.84232976925835
g19	g1	8.817788674592352
g31	g26	8.79958341140015
g12	g16	8.768980163855582
g10	g16	8.752506646242281
g7	g1	8.73855283960463
g6	g19	8.714396328165133
g62	g16	8.705495422276881
g1	g48	8.697838928734372
g63	g48	8.680758477089032
g1	g15	8.63271081212057
g30	g48	8.606694188278025
g14	g52	8.596339988180283
g1	g21	8.593317778382046
g31	g29	8.589210162335316
g55	g26	8.575430023089169
g13	g10	8.569754027064821
g40	g59	8.528655283400841
g59	g18	8.504218632968675
g6	g34	8.490646123220197
g10	g15	8.48408711195997
g48	g8	8.464732964910679
g20	g9	8.456471029588645
g43	g3	8.408068673099434
g48	g44	8.395780538204187
g59	g46	8.385150890766418
g59	g57	8.380664421275785
g61	g43	8.326977034896357
g17	g44	8.312895795671682
g11	g13	8.309428500498049
g2	g50	8.296784256938237
g59	g9	8.29499378127679
g9	g10	8.283234520246552
g22	g10	8.211542904119371
g11	g22	8.211237672875283
g13	g31	8.208473638705616
g34	g60	8.201521847108463
g10	g20	8.200757029564192
g2	g63	8.200021944270404
g5	g35	8.183878385746011
g31	g21	8.152874385975785
g60	g34	8.129098891880432
g25	g13	8.111396020538304
g7	g48	8.107042528891443
g11	g36	8.060067721266057
g4	g49	8.03216825899608
g31	g17	8.030104318887888
g47	g37	7.934332566287465
g20	g37	7.921672449398744
g20	g25	7.88992445912654
g13	g40	7.8413148691347585
g50	g15	7.825691232445181
g1	g39	7.819490654245625
g46	g38	7.814408665882097
g38	g36	7.803607866778611
g18	g44	7.7592866882386256
g48	g55	7.7417716606066165
g18	g51	7.7028070507370705
g19	g15	7.696649301520917
g30	g4	7.670922352060017
g41	g31	7.663049746034338
g9	g8	7.615260885306867
g41	g40	7.555073277060844
g21	g40	7.5189839899818
