Gene1	Gene2	EdgeWeight
g37	g25	0.18970283660955803
g1	g42	0.18930502657474998
g48	g53	0.18906876401570896
g11	g13	0.18806767711760602
g57	g47	0.187907280801851
g12	g14	0.18759710693662196
g16	g34	0.18730500852900897
g18	g17	0.185370525639522
g33	g53	0.18507407301438197
g20	g20	0.185004051459099
g60	g44	0.18422293031702203
g13	g51	0.183987987793053
g9	g44	0.183572370334015
g15	g13	0.182972649231118
g37	g38	0.182850028865751
g8	g18	0.18284584394780698
g47	g20	0.182413873531547
g52	g18	0.18225719371991797
g49	g5	0.182219464064346
g53	g18	0.181549559289512
g18	g25	0.18112046285590802
g13	g36	0.17999471171394502
g37	g36	0.17966254301705603
g63	g57	0.17884461828651702
g35	g5	0.178458896589448
g52	g11	0.178020848881316
g26	g51	0.177946610796612
g32	g16	0.177878950118733
g12	g47	0.177220058345748
g13	g11	0.17670703331937498
g43	g38	0.17636873857291502
g20	g13	0.17471155943516298
g61	g53	0.174702227055713
g31	g37	0.174360888167754
g40	g57	0.17303877865910902
g53	g41	0.17205421192862802
g13	g38	0.171175886551367
g11	g36	0.17043872180714403
g4	g15	0.17035045197590198
g55	g47	0.16969667169209302
g44	g47	0.16953429313545598
g3	g57	0.169492557960586
g52	g47	0.1671563308266
g13	g25	0.16653761384828197
g8	g13	0.165884640124683
g63	g42	0.165506205923928
g57	g53	0.16424462787183303
g0	g17	0.16387855652239902
g47	g51	0.16343672994065397
g62	g38	0.163325129053472
g54	g2	0.163066397484327
g26	g16	0.16294077619901098
g57	g13	0.16271080752682401
g1	g53	0.16233272891675302
g43	g37	0.161986930857763
g60	g37	0.160907873977897
g35	g34	0.15916915143242902
g12	g37	0.158949262278526
g60	g51	0.157175209384174
g15	g37	0.15694089706462602
g18	g20	0.156703141733522
g14	g11	0.15667246648785
g22	g41	0.156516636576426
g23	g16	0.155465474394959
g19	g11	0.155079592706041
g10	g51	0.154881084868871
g12	g41	0.154836271829894
g48	g42	0.154804445201795
g36	g20	0.15294634107917499
g20	g46	0.152914608330612
g31	g18	0.15246204778384698
g27	g34	0.15145372163770002
g26	g25	0.15128988628634804
g20	g41	0.150378582034182
g59	g51	0.14997873855784602
g64	g5	0.14803664132843802
g22	g25	0.14793401733394598
g4	g42	0.14788373949581302
g43	g46	0.147443392337896
g44	g17	0.147367034568224
g63	g47	0.146843043383832
g18	g38	0.14622275303716697
g21	g36	0.14613141042608702
g53	g44	0.145893556985925
g37	g20	0.14573021021952498
g50	g16	0.145031961313714
g31	g47	0.144802453553307
g47	g38	0.14452458701639903
g63	g51	0.144312528069294
g14	g20	0.14417094254538199
g8	g15	0.14396084431894499
g60	g29	0.143713980354082
g49	g15	0.143523580500353
g17	g37	0.143372914221815
g53	g25	0.142854351460051
g17	g47	0.14242587060439701
g60	g42	0.141837634682924
g18	g36	0.14180808502229098
g43	g47	0.141545286815624
g27	g44	0.14114042336870003
g11	g18	0.140718673479082
g57	g44	0.140552068129069
g12	g46	0.140220605348137
g57	g18	0.14019997210297303
g15	g15	0.13934667582374802
g16	g2	0.139328853810537
g31	g25	0.138275429363214
g37	g17	0.13820645977489002
g20	g17	0.138154853400694
g48	g51	0.137863703312657
g20	g11	0.137759989340103
g15	g18	0.13765441998671699
g44	g16	0.13743571446232597
g20	g37	0.13742293600298802
g28	g25	0.137241643297181
g26	g18	0.137151281694798
g36	g18	0.136875054700132
g55	g17	0.13671338644977302
g6	g5	0.136418956790623
g0	g25	0.136389550725883
g36	g11	0.13612916898164099
g63	g38	0.135657326075056
g13	g37	0.13539840573361
g29	g41	0.135154770624086
g49	g16	0.134978531256835
g4	g5	0.13455097791606
g11	g25	0.134291392221606
g17	g13	0.134267861513791
g44	g20	0.133167547345615
g10	g44	0.132745299943791
g47	g36	0.132335888750456
g46	g11	0.131866609359176
g26	g15	0.13157994856060498
g12	g13	0.128147833520909
g62	g11	0.12793867713105803
g15	g44	0.126256978517782
g33	g16	0.125751752800554
g41	g11	0.124991554944231
g42	g57	0.124342453350432
g43	g20	0.12413319740530601
g63	g37	0.12397606514661699
g9	g25	0.122574462576415
g31	g13	0.122303824469142
g49	g42	0.12223389620466199
g11	g37	0.120041559596094
g48	g14	0.11972774787417
g24	g25	0.119008753026616
g64	g57	0.118864806097873
g44	g36	0.118638528967229
g62	g51	0.11859513360789599
g20	g25	0.11848412453594198
g24	g5	0.11848321674402099
g26	g47	0.118169156251754
g12	g18	0.11781222188882598
g1	g15	0.117760115134404
g55	g38	0.117088966169216
g59	g44	0.11618954440029598
g17	g25	0.115753998594142
g3	g42	0.11524848965495098
g54	g13	0.11487980323607498
g48	g13	0.114208658960456
g17	g38	0.11394818480741901
g24	g16	0.11382082386038199
g48	g47	0.11310684966344099
g26	g11	0.11280776124535499
g10	g57	0.112513358483403
g47	g29	0.11213231422555302
g62	g53	0.11084241184497802
g5	g5	0.11008200736568598
g50	g38	0.10962276006354199
g26	g44	0.10959349041651899
g36	g51	0.107827016925146
g28	g34	0.107263140668194
g18	g13	0.107184075047307
g46	g46	0.10685003457139099
g42	g25	0.10631211835166499
g64	g16	0.105991409550479
g55	g25	0.105972064147899
g47	g25	0.10541985239991199
g33	g22	0.10523937470551
g10	g29	0.10516043474399699
g42	g13	0.104120361744012
g59	g25	0.10368481921878
g18	g18	0.10358048564102199
g59	g11	0.103496245367158
g27	g42	0.10341895501848901
g46	g42	0.10338624770449499
g22	g46	0.103063459977377
g8	g20	0.103056260973295
g55	g16	0.10257972701105401
g24	g51	0.102464769839398
g12	g25	0.10226206376978801
g63	g36	0.10210632784120201
g28	g16	0.10160870438050501
g60	g38	0.10103260921076501
g29	g18	0.100887375887071
g37	g18	0.10063297422202801
g0	g16	0.10053667977747001
g40	g42	0.100011604452747
g29	g36	0.0998107123873959
g26	g17	0.0995808946003857
g47	g47	0.0992615939764924
g9	g42	0.0989393786778019
g48	g11	0.0982514477445861
g14	g36	0.0978083598574116
g14	g47	0.0977154485019861
g0	g37	0.096709453184998
g21	g38	0.0961630914038367
g22	g16	0.0960738170531832
g15	g47	0.0957576011614886
g63	g46	0.0955117547286059
g48	g37	0.0953958870032204
g48	g29	0.0950038326180877
g18	g29	0.0946336902569908
g58	g34	0.0946232856106529
g42	g18	0.0945660776728983
g7	g51	0.0941416304465599
g45	g57	0.0941129202478748
g55	g51	0.0939587554740153
g41	g38	0.0934053998504354
g44	g18	0.0930517515807176
g1	g11	0.0926966089660797
g41	g51	0.0925808229831463
g41	g36	0.092395463152675
g27	g16	0.0923397401691698
g40	g38	0.092024302690274
g21	g25	0.0915518617171384
g22	g38	0.0914970825235457
g10	g25	0.0910475654221141
g39	g16	0.0908934756187976
g38	g11	0.0901777380948714
g61	g16	0.0901487048868089
g52	g34	0.0894367528029518
g43	g36	0.0892036405121093
g29	g11	0.0887859733653208
g50	g46	0.0879862090860806
g50	g53	0.0878636690884205
g14	g18	0.0876475117322764
g43	g25	0.0875329267328795
g47	g18	0.0873171463762869
g31	g17	0.0866547539228647
g33	g20	0.0865010023372699
