,P.Value,adj.P.Val,logFC,gene,lateral line
ENSDARG00000031435,0.229883483,0.999737975,0.417896388,zgc:56493,FALSE
ENSDARG00000040041,0.23035398,0.999737975,1.080560009,mcm4,TRUE
ENSDARG00000089429,0.230455409,0.999737975,-0.363730505,si:dkey-205h13.2,FALSE
ENSDARG00000018049,0.230585913,0.999737975,-0.940475638,sf3b2,FALSE
ENSDARG00000043154,0.230934859,0.999737975,-0.496277146,ucp2,FALSE
ENSDARG00000099091,0.231211075,0.999737975,-1.147808406,si:ch73-158n7.2,FALSE
ENSDARG00000036830,0.231283501,0.999737975,0.612145457,krt91,FALSE
ENSDARG00000018902,0.233820952,0.999737975,0.962540208,pes,FALSE
ENSDARG00000035692,0.23522537,0.999737975,0.243375175,rps3a,FALSE
ENSDARG00000020133,0.237183603,0.999737975,-0.98972069,jdp2b,FALSE
ENSDARG00000012513,0.238303351,0.999737975,0.92793803,sdcbp2,FALSE
ENSDARG00000043713,0.240833125,0.999737975,1.282145832,asf1bb,FALSE
ENSDARG00000006219,0.242153162,0.999737975,1.486255109,gnl3,FALSE
ENSDARG00000008936,0.243469035,0.999737975,-0.960995251,sec11a,FALSE
ENSDARG00000019417,0.243602225,0.999737975,1.714032449,gadd45ga,FALSE
ENSDARG00000059247,0.243610997,0.999737975,-1.019690954,tmem54a,FALSE
ENSDARG00000006092,0.244121612,0.999737975,0.806543991,rad21a,FALSE
ENSDARG00000017775,0.244359574,0.999737975,-0.621092216,atp5g3a,FALSE
ENSDARG00000092158,0.245926659,0.999737975,-1.176367416,cbx3b,FALSE
ENSDARG00000028618,0.248157358,0.999737975,-0.46508402,zgc:77517,FALSE
ENSDARG00000038576,0.24927041,0.999737975,0.856646761,ube2d1b,FALSE
ENSDARG00000012820,0.251082325,0.999737975,-0.469216944,nop56,FALSE
ENSDARG00000010516,0.251992614,0.999737975,-0.244194767,rpl21,FALSE
ENSDARG00000074979,0.252215894,0.999737975,-0.973545997,larp4ab,FALSE
ENSDARG00000059279,0.254125044,0.999737975,1.041112628,tfap2a,FALSE
ENSDARG00000101813,0.254483612,0.999737975,0.806869511,nap1l1,FALSE
ENSDARG00000018817,0.256420469,0.999737975,-0.969579542,bdnf,TRUE
ENSDARG00000077533,0.25695729,0.999737975,-0.433297636,eif3f,FALSE
ENSDARG00000036080,0.257684514,0.999737975,1.16251018,cd81a,FALSE
ENSDARG00000042866,0.258090374,0.999737975,-1.076515577,cx35.4,FALSE
ENSDARG00000094210,0.261477042,0.999737975,-0.419805214,zgc:109934,FALSE
ENSDARG00000003829,0.263971882,0.999737975,-1.305125165,galnt2,FALSE
ENSDARG00000032866,0.264240462,0.999737975,-0.542248078,erh,FALSE
ENSDARG00000041435,0.266244378,0.999737975,0.353832221,uba52,FALSE
ENSDARG00000075677,0.266338913,0.999737975,-1.289016625,mrpl17,FALSE
ENSDARG00000051800,0.266345261,0.999737975,-1.348600698,fnbp4,FALSE
ENSDARG00000019033,0.267147909,0.999737975,-0.813082663,tmem59,FALSE
ENSDARG00000069296,0.267954584,0.999737975,-0.666367663,moxd1l,FALSE
ENSDARG00000045914,0.268580535,0.999737975,0.872956697,si:ch211-51e12.7,FALSE
ENSDARG00000005551,0.268815988,0.999737975,0.869004372,hnrnph1l,FALSE
ENSDARG00000013250,0.269594667,0.999737975,0.956189029,tars,FALSE
